Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
dropped_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7862699039738568,0.7865310632290461,0.6822740845513123,0.7300546206738188,0.8589322800771398
dropped_v1_basic_clean,PassiveAggressive,0.7928330119246856,0.7941089763550255,0.6913892817853213,0.738876010051345,0.8585892300845572
dropped_v2_no_emojis_mentions,PassiveAggressive,0.7930017868621737,0.7974581033572512,0.6870320603488921,0.7378577296088404,0.8601209019433318
dropped_v3_lemmatized,PassiveAggressive,0.7923289525476237,0.7998784881496315,0.6814780763790665,0.7356654955920108,0.8607866043613707
dropped_v4_stemmed,PassiveAggressive,0.7899714838318708,0.7835843103500671,0.6981415998742732,0.7381789904296131,0.8625370864856847
dropped_v5_lemma_stem,PassiveAggressive,0.788288831686645,0.7821500507230527,0.694969354078265,0.7357498389417663,0.8620048954161105
dropped_v6_custom_stopwords,PassiveAggressive,0.7844771784114666,0.7838925111723867,0.6793650793650794,0.7277419471139657,0.8520653485565766
dropped_v7_lowercase_words_only,PassiveAggressive,0.7924968779468359,0.7968973618590819,0.6862391953481064,0.7371565591474324,0.8601283192404687
dropped_v8_keep_hashtags,PassiveAggressive,0.7923289525476237,0.7998784881496315,0.6814780763790665,0.7356654955920108,0.8607866043613707
dropped_v9_minimal_processing,PassiveAggressive,0.7982482789138222,0.8046099558974417,0.6934212187194296,0.7445732786875195,0.8528422909124663
kept_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7880404151585066,0.7801268448575933,0.6989327283641664,0.7372098310774877,0.8634967740030414
kept_v1_basic_clean,PassiveAggressive,0.7952613791108383,0.8044491161741245,0.6854971115840682,0.740129108325857,0.8621301545820969
kept_v2_no_emojis_mentions,PassiveAggressive,0.7947580241164476,0.7985350075683096,0.6922172587724427,0.7415123870640736,0.8622501144232331
kept_v3_lemmatized,PassiveAggressive,0.7949253857714369,0.7927939293918846,0.700908233349705,0.7439366499276266,0.8625066439296629
kept_v4_stemmed,PassiveAggressive,0.7935826824432544,0.7902764666936062,0.7005137560321508,0.7426465235515944,0.8614279281274454
kept_v5_lemma_stem,PassiveAggressive,0.7913987962943363,0.7934891526060139,0.689455917549563,0.7376364545834677,0.8622694925514167
kept_v6_custom_stopwords,PassiveAggressive,0.7953299606996451,0.7950860282474137,0.700395256916996,0.744016704951046,0.864567685670205
kept_v7_lowercase_words_only,PassiveAggressive,0.7915654523774245,0.7883881833286228,0.6973555986933914,0.7399641293660121,0.8594652005728542
kept_v8_keep_hashtags,PassiveAggressive,0.7949253857714369,0.7927939293918846,0.700908233349705,0.7439366499276266,0.8625066439296629
kept_v9_minimal_processing,PassiveAggressive,0.7961344537815125,0.7988349936521495,0.6963143270848824,0.7437822982861112,0.8600820344847983
prepended_v10_lemma_stem_custom_stopwords,PassiveAggressive,0.7872785890868312,0.7625656625864515,0.7243226465503694,0.7428200847934645,0.8557873460910843
prepended_v1_basic_clean,PassiveAggressive,0.7857635791613925,0.7738126663079681,0.7005131227408455,0.7345335741572807,0.8562583444592791
prepended_v2_no_emojis_mentions,PassiveAggressive,0.786268204897305,0.7792893997748135,0.692974225994028,0.7330680583511985,0.8571836522771102
prepended_v3_lemmatized,PassiveAggressive,0.7859315045606048,0.769805235032499,0.7084543454345436,0.7372883090110236,0.857287494437027
prepended_v4_stemmed,PassiveAggressive,0.790138984461945,0.770161111441977,0.7207512179789408,0.744458496073746,0.8580904168520991
prepended_v5_lemma_stem,PassiveAggressive,0.7891294498106945,0.7684665491616359,0.7203551783749804,0.743430002618165,0.8576583592938734
prepended_v6_custom_stopwords,PassiveAggressive,0.784248852415379,0.7680527084641044,0.7052891717743204,0.734917192896939,0.8557623127132472
prepended_v7_lowercase_words_only,PassiveAggressive,0.7867726890435048,0.7808185515231821,0.6921813609932422,0.7333098837811317,0.8576138555110517
prepended_v8_keep_hashtags,PassiveAggressive,0.7859315045606048,0.769805235032499,0.7084543454345436,0.7372883090110236,0.857287494437027
prepended_v9_minimal_processing,PassiveAggressive,0.7859323540988806,0.7770779620827029,0.6961488291686312,0.7334411453808444,0.8564400682391337
