JobID|ReqCPUS|ElapsedRaw|Partition
291176|12|125|any-interactive
291176.interactive|12|125|
291177_0|28|374|batch-impulse
291177_1|28|358|batch-impulse
291177_2|28|363|batch-impulse
291177_3|28|358|batch-impulse
291177_4|28|356|batch-impulse
291177_5|28|346|batch-impulse
291177_6|28|362|batch-impulse
291177_7|28|358|batch-impulse
291177_8|28|384|batch-impulse
291177_9|28|382|batch-impulse
291177_10|28|369|batch-impulse
291177_11|28|362|batch-impulse
291177_12|28|360|batch-impulse
291177_13|28|365|batch-impulse
291177_14|28|356|batch-impulse
291177_15|28|360|batch-impulse
291177_16|28|362|batch-impulse
291177_17|28|393|batch-impulse
291177_18|28|395|batch-impulse
291177_19|28|380|batch-impulse
291177_20|28|424|batch-impulse
291177_21|28|382|batch-impulse
291177_22|28|397|batch-impulse
291177_23|28|408|batch-impulse
291177_24|28|411|batch-impulse
291177_25|28|422|batch-impulse
291177_26|28|429|batch-impulse
291177_27|28|435|batch-impulse
291177_28|28|453|batch-impulse
291177_29|28|427|batch-impulse
291207|12|1436|any-interactive
291207.interactive|12|1436|
291208_0|28|54|batch-impulse
291208_1|28|48|batch-impulse
291208_2|28|77|batch-impulse
291208_3|28|64|batch-impulse
291208_4|28|58|batch-impulse
291208_5|28|58|batch-impulse
291208_6|28|68|batch-impulse
291208_7|28|49|batch-impulse
291208_8|28|67|batch-impulse
291208_9|28|50|batch-impulse
291208_10|28|81|batch-impulse
291208_11|28|84|batch-impulse
291208_12|28|66|batch-impulse
291208_13|28|64|batch-impulse
291208_14|28|89|batch-impulse
291208_15|28|69|batch-impulse
291208_16|28|48|batch-impulse
291208_17|28|59|batch-impulse
291208_18|28|75|batch-impulse
291208_19|28|52|batch-impulse
291208_20|28|59|batch-impulse
291208_21|28|76|batch-impulse
291208_22|28|49|batch-impulse
291208_23|28|59|batch-impulse
291208_24|28|74|batch-impulse
291208_25|28|67|batch-impulse
291208_26|28|51|batch-impulse
291208_27|28|38|batch-impulse
291208_28|28|38|batch-impulse
291208_29|28|38|batch-impulse
291238_0|28|16|batch-impulse
291238_1|28|16|batch-impulse
291238_2|28|15|batch-impulse
291238_3|28|16|batch-impulse
291238_4|28|15|batch-impulse
291238_5|28|15|batch-impulse
291238_6|28|15|batch-impulse
291238_7|28|16|batch-impulse
291238_8|28|16|batch-impulse
291238_9|28|16|batch-impulse
291238_10|28|16|batch-impulse
291238_11|28|15|batch-impulse
291238_12|28|16|batch-impulse
291238_13|28|15|batch-impulse
291238_14|28|15|batch-impulse
291238_15|28|16|batch-impulse
291238_16|28|15|batch-impulse
291238_17|28|16|batch-impulse
291238_18|28|16|batch-impulse
291238_19|28|16|batch-impulse
291238_20|28|16|batch-impulse
291238_21|28|16|batch-impulse
291238_22|28|16|batch-impulse
291238_23|28|16|batch-impulse
291238_24|28|16|batch-impulse
291238_25|28|16|batch-impulse
291238_26|28|16|batch-impulse
291238_27|28|16|batch-impulse
291238_28|28|16|batch-impulse
291238_29|28|16|batch-impulse
291268_0|28|15043|batch-impulse
291268_1|28|15043|batch-impulse
291268_2|28|15043|batch-impulse
291268_3|28|15043|batch-impulse
291268_4|28|15043|batch-impulse
291268_5|28|15043|batch-impulse
291268_6|28|15043|batch-impulse
291268_7|28|15043|batch-impulse
291268_8|28|15043|batch-impulse
291268_9|28|15043|batch-impulse
291268_10|28|15043|batch-impulse
291268_11|28|15043|batch-impulse
291268_12|28|15043|batch-impulse
291268_13|28|15043|batch-impulse
291268_14|28|15043|batch-impulse
291268_15|28|15043|batch-impulse
291268_16|28|15043|batch-impulse
291268_17|28|15043|batch-impulse
291268_18|28|15043|batch-impulse
291268_19|28|15042|batch-impulse
291268_20|28|15042|batch-impulse
291268_21|28|15042|batch-impulse
291268_22|28|12835|batch-impulse
291268_23|28|14305|batch-impulse
291268_24|28|13233|batch-impulse
291268_25|28|13200|batch-impulse
291268_26|28|15042|batch-impulse
291268_27|28|13077|batch-impulse
291268_28|28|13504|batch-impulse
291268_29|28|12447|batch-impulse
